Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Mazatlan,MX",04/08/2004 06:00:00,67.7,67.7,67.7,61.4,80.26,,2.2,,320.0,,0.0,,,5.0,100.0,,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,Overcast
"Mazatlan,MX",04/08/2004 07:00:00,,,,,,,,,,,0.0,,,,,,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,
"Mazatlan,MX",04/08/2004 08:00:00,,,,,,,,,,,0.0,,,,,,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,
"Mazatlan,MX",04/08/2004 09:00:00,71.9,71.9,71.9,62.3,71.93,,4.5,,300.0,,0.0,,,11.2,80.0,,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,Overcast
"Mazatlan,MX",04/08/2004 10:00:00,,,,,,,,,,,0.0,,,,,,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,
"Mazatlan,MX",04/08/2004 11:00:00,,,,,,,,,,,0.0,,,,,,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,
"Mazatlan,MX",04/08/2004 12:00:00,77.6,77.6,77.6,63.8,62.39,,6.7,,240.0,,0.0,,,12.4,80.0,1012.5,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,Overcast
"Mazatlan,MX",04/08/2004 13:00:00,,,,,,,,,,,0.0,,,,,,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,
"Mazatlan,MX",04/08/2004 14:00:00,78.9,78.9,78.9,57.3,47.57,,15.0,,240.0,,0.0,,,14.9,90.0,1011.5,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,Overcast
"Mazatlan,MX",04/08/2004 15:00:00,77.3,77.3,77.3,63.8,63.16,,8.9,,270.0,,0.0,,,12.4,90.0,,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,Overcast
"Mazatlan,MX",04/08/2004 16:00:00,,,,,,,,,,,0.0,,,,,,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,
"Mazatlan,MX",04/08/2004 17:00:00,,,,,,,,,,,0.0,,,,,,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,
"Mazatlan,MX",04/08/2004 18:00:00,75.8,75.8,75.8,60.2,58.35,,8.9,,280.0,,0.0,,,12.4,90.0,,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,Overcast
"Mazatlan,MX",04/08/2004 19:00:00,73.5,73.5,73.5,65.0,74.85,,6.7,,320.0,,0.0,,,5.0,0.1,1011.5,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,Clear
"Mazatlan,MX",04/08/2004 20:00:00,,,,,,,,,,,0.0,,,,,,,23.2,-106.422,"Mazatlán, SIN, México","Mazatlán, SIN, México",,
"Torreon,MX",04/08/2004 06:00:00,71.7,71.7,71.7,42.9,35.42,,4.7,,180.0,,0.0,,0.0,9.9,90.0,1012.5,,25.5394,-103.453,"Torreón, COAH, México","Torreón, COAH, México",,Overcast
"Torreon,MX",04/08/2004 07:00:00,71.7,71.7,71.7,35.7,26.75,,4.7,,210.0,,0.0,,0.0,14.9,100.0,1014.2,,25.5394,-103.453,"Torreón, COAH, México","Torreón, COAH, México",,Overcast
"Torreon,MX",04/08/2004 08:00:00,68.1,68.1,68.1,39.3,34.84,,0.0,,,,0.0,,0.0,14.9,100.0,1014.2,,25.5394,-103.453,"Torreón, COAH, México","Torreón, COAH, México",,Overcast
"Torreon,MX",04/08/2004 09:00:00,,,,,,,,,,,0.0,,,,,,,25.5394,-103.453,"Torreón, COAH, México","Torreón, COAH, México",,
"Torreon,MX",04/08/2004 10:00:00,73.5,73.5,73.5,39.3,29.0,,4.7,,280.0,,0.0,,0.0,14.9,100.0,1016.6,,25.5394,-103.453,"Torreón, COAH, México","Torreón, COAH, México",,Overcast
"Torreon,MX",04/08/2004 11:00:00,75.3,75.3,75.3,41.1,29.28,,6.9,,20.0,,0.0,,0.0,14.9,90.0,1015.2,,25.5394,-103.453,"Torreón, COAH, México","Torreón, COAH, México",,Overcast
"Torreon,MX",04/08/2004 12:00:00,77.1,77.1,77.1,39.3,25.72,,0.0,,,,0.0,,0.0,14.9,90.0,1015.2,,25.5394,-103.453,"Torreón, COAH, México","Torreón, COAH, México",,Overcast
"Torreon,MX",04/08/2004 13:00:00,78.9,78.9,78.9,39.3,24.24,,0.0,,,,0.0,,0.0,14.9,90.0,1014.9,,25.5394,-103.453,"Torreón, COAH, México","Torreón, COAH, México",,Overcast
"Torreon,MX",04/08/2004 14:00:00,,,,,,,,,,,0.0,,,,,,,25.5394,-103.453,"Torreón, COAH, México","Torreón, COAH, México",,
"Torreon,MX",04/08/2004 15:00:00,,,,,,,,,,,0.0,,,,,,,25.5394,-103.453,"Torreón, COAH, México","Torreón, COAH, México",,
"San Antonio,TX,US",04/08/2004 00:00:00,68.4,68.4,68.4,53.9,59.66,,5.1,,6.0,,0.0,,0.0,9.9,0.0,1011.5,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Clear
"San Antonio,TX,US",04/08/2004 01:00:00,65.2,65.2,65.2,53.8,66.5,,3.9,,12.0,,0.0,,0.0,9.9,10.1,1011.6,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Clear
"San Antonio,TX,US",04/08/2004 02:00:00,62.4,62.4,62.4,54.6,75.7,,0.2,,360.0,,0.0,,0.0,9.9,10.1,1012.1,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Clear
"San Antonio,TX,US",04/08/2004 03:00:00,61.5,61.5,61.5,53.5,75.06,,4.3,,43.0,,0.0,,0.0,9.9,10.1,1012.1,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Clear
"San Antonio,TX,US",04/08/2004 04:00:00,62.6,62.6,62.6,52.4,69.23,,2.3,,49.0,,0.0,,0.0,9.9,10.1,1011.7,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Clear
"San Antonio,TX,US",04/08/2004 05:00:00,59.0,59.0,59.0,52.9,80.27,,3.1,,19.0,,0.0,,0.0,9.9,10.1,1011.7,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Clear
"San Antonio,TX,US",04/08/2004 06:00:00,56.9,56.9,56.9,53.2,87.42,,1.2,,2.0,,0.0,,0.0,9.9,16.9,1012.1,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Clear
"San Antonio,TX,US",04/08/2004 07:00:00,57.6,57.6,57.6,52.5,83.35,,1.6,,353.0,,0.0,,0.0,9.9,16.9,1012.7,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Clear
"San Antonio,TX,US",04/08/2004 08:00:00,59.6,59.6,59.6,53.5,80.11,,1.3,,11.0,,0.0,,0.0,9.9,16.9,1013.6,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Clear
"San Antonio,TX,US",04/08/2004 09:00:00,64.6,64.6,64.6,55.1,71.25,,5.5,,56.0,,0.0,,0.0,9.9,10.1,1014.3,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Clear
"San Antonio,TX,US",04/08/2004 10:00:00,68.0,68.0,68.0,54.6,62.26,,10.4,,40.0,,0.0,,0.0,9.9,10.5,1014.2,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Clear
"San Antonio,TX,US",04/08/2004 11:00:00,71.8,71.8,71.8,56.3,58.07,,8.5,,66.0,,0.0,,0.0,9.9,30.7,1014.4,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Partially cloudy
"San Antonio,TX,US",04/08/2004 12:00:00,72.3,72.3,72.3,55.7,55.92,,8.8,,83.0,,0.0,,0.0,9.9,33.7,1014.6,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Partially cloudy
"San Antonio,TX,US",04/08/2004 13:00:00,73.3,73.3,73.3,56.9,56.6,,6.7,,97.0,,0.0,,0.0,9.9,33.7,1014.0,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Partially cloudy
"San Antonio,TX,US",04/08/2004 14:00:00,74.4,74.4,74.4,56.6,53.88,,7.3,,96.0,,0.0,,0.0,9.9,33.7,1013.3,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Partially cloudy
"San Antonio,TX,US",04/08/2004 15:00:00,75.9,75.9,75.9,56.6,51.24,,7.7,,98.0,,0.0,,0.0,9.9,33.7,1012.6,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Partially cloudy
"San Antonio,TX,US",04/08/2004 16:00:00,75.8,75.8,75.8,56.3,50.78,,7.3,,61.0,,0.0,,0.0,9.9,33.7,1011.7,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Partially cloudy
"San Antonio,TX,US",04/08/2004 17:00:00,75.3,75.3,75.3,56.3,51.82,,5.1,,132.0,,0.0,,0.0,9.9,33.7,1011.9,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Partially cloudy
"San Antonio,TX,US",04/08/2004 18:00:00,74.4,74.4,74.4,55.6,52.06,,1.8,,141.0,,0.0,,0.0,9.9,34.1,1011.6,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Partially cloudy
"San Antonio,TX,US",04/08/2004 19:00:00,71.9,71.9,71.9,58.8,63.4,,6.8,,136.0,,0.0,,0.0,9.9,94.0,1011.9,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Overcast
"San Antonio,TX,US",04/08/2004 20:00:00,70.1,70.1,70.1,57.0,63.09,,6.8,,149.0,,0.0,,0.0,9.9,90.7,1012.1,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Overcast
"San Antonio,TX,US",04/08/2004 21:00:00,66.9,66.9,66.9,57.1,70.82,,5.5,,126.0,,0.0,,0.0,9.9,81.6,1012.2,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Overcast
"San Antonio,TX,US",04/08/2004 22:00:00,66.8,66.8,66.8,56.2,68.82,,0.1,,360.0,,0.0,,0.0,9.9,45.4,1012.9,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Partially cloudy
"San Antonio,TX,US",04/08/2004 23:00:00,66.5,66.5,66.5,56.2,69.41,,0.2,,210.0,,0.0,,0.0,9.9,27.2,1013.5,,29.4246,-98.4946,"San Antonio, TX, United States","San Antonio, TX, United States",,Partially cloudy
"Austin,TX,US",04/08/2004 00:00:00,67.5,67.5,67.5,51.8,57.2,,5.2,,345.0,,0.0,,0.0,9.9,11.5,1011.5,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 01:00:00,63.8,63.8,63.8,51.9,65.29,,5.8,,10.0,,0.0,,0.0,9.9,0.0,1012.1,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 02:00:00,62.2,62.2,62.2,52.3,69.86,,3.4,,357.0,,0.0,,0.0,9.9,6.9,1012.4,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 03:00:00,60.4,60.4,60.4,52.3,74.62,,1.1,,340.0,,0.0,,0.0,9.9,6.9,1012.4,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 04:00:00,59.4,59.4,59.4,52.3,77.28,,3.4,,322.0,,0.0,,0.0,9.9,6.9,1012.0,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 05:00:00,56.5,56.5,56.5,51.9,84.46,,3.9,,330.0,,0.0,,0.0,9.9,6.9,1011.7,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 06:00:00,56.9,56.9,56.9,52.1,83.86,,4.9,,330.0,,0.0,,0.0,9.9,6.9,1012.1,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 07:00:00,56.9,56.9,56.9,52.0,83.86,,5.5,,284.0,,0.0,,0.0,9.9,11.5,1013.1,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 08:00:00,58.2,58.2,58.2,53.7,85.17,,0.0,,10.0,,0.0,,0.0,9.9,11.5,1014.1,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 09:00:00,63.2,63.2,63.2,54.6,73.6,,1.4,,1.0,,0.0,,0.0,9.9,6.9,1014.5,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 10:00:00,69.2,69.2,69.2,56.0,62.99,,7.5,,41.0,,0.0,,0.0,9.9,11.5,1014.5,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 11:00:00,70.8,70.8,70.8,55.8,59.06,,7.2,,11.0,,0.0,,0.0,9.9,11.5,1014.8,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 12:00:00,73.8,73.8,73.8,54.8,51.44,,8.0,,30.0,,0.0,,0.0,9.9,11.5,1014.5,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 13:00:00,76.2,76.2,76.2,57.0,51.36,,6.9,,41.0,,0.0,,0.0,9.9,20.8,1014.1,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 14:00:00,75.8,75.8,75.8,57.7,53.51,,8.0,,60.0,,0.0,,0.0,9.9,87.7,1013.2,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Overcast
"Austin,TX,US",04/08/2004 15:00:00,78.2,78.2,78.2,54.4,43.91,,6.4,,39.0,,0.0,,0.0,9.9,0.0,1012.8,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
"Austin,TX,US",04/08/2004 16:00:00,77.9,77.9,77.9,55.3,45.76,,4.0,,158.0,,0.0,,0.0,9.9,20.8,1012.1,,30.2676,-97.743,"Austin, TX, United States","Austin, TX, United States",,Clear
