DeviceID,Event,EventValue,Date,DeviceType,DeviceName
102,locking,TRUE,6/16/17 12:08:44 AM,door_lock_device,Front Door
135,locking,TRUE,6/16/17 12:08:45 AM,door_lock_device,Back Door
275,locking,TRUE,6/16/17 12:08:45 AM,kwikset_988_door_lock_device,Man Door
135,locking,FALSE,6/16/17 12:08:54 AM,door_lock_device,Back Door
102,locking,FALSE,6/16/17 12:08:54 AM,door_lock_device,Front Door
275,locking,FALSE,6/16/17 12:08:55 AM,kwikset_988_door_lock_device,Man Door
31,open,TRUE,6/16/17 8:33:40 AM,wireless_sensor,Interior Garage Door
31,open,FALSE,6/16/17 8:33:47 AM,wireless_sensor,Interior Garage Door
31,open,TRUE,6/16/17 8:42:31 AM,wireless_sensor,Interior Garage Door
31,open,FALSE,6/16/17 8:42:36 AM,wireless_sensor,Interior Garage Door
31,open,TRUE,6/16/17 9:26:48 AM,wireless_sensor,Interior Garage Door
31,open,FALSE,6/16/17 9:26:53 AM,wireless_sensor,Interior Garage Door
31,open,TRUE,6/16/17 9:35:40 AM,wireless_sensor,Interior Garage Door
31,open,FALSE,6/16/17 9:35:45 AM,wireless_sensor,Interior Garage Door
31,open,TRUE,6/16/17 9:36:41 AM,wireless_sensor,Interior Garage Door
31,open,FALSE,6/16/17 9:36:57 AM,wireless_sensor,Interior Garage Door
31,open,TRUE,6/16/17 10:51:19 AM,wireless_sensor,Interior Garage Door
31,open,FALSE,6/16/17 10:51:24 AM,wireless_sensor,Interior Garage Door
31,open,TRUE,6/16/17 10:51:29 AM,wireless_sensor,Interior Garage Door
31,open,FALSE,6/16/17 10:51:36 AM,wireless_sensor,Interior Garage Door
31,open,TRUE,6/16/17 10:58:29 AM,wireless_sensor,Interior Garage Door
31,open,FALSE,6/16/17 10:59:38 AM,wireless_sensor,Interior Garage Door
31,open,TRUE,6/16/17 11:00:07 AM,wireless_sensor,Interior Garage Door
31,open,FALSE,6/16/17 11:00:27 AM,wireless_sensor,Interior Garage Door
31,open,TRUE,6/16/17 7:07:36 PM,wireless_sensor,Interior Garage Door
31,open,FALSE,6/16/17 7:08:31 PM,wireless_sensor,Interior Garage Door
