time,precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),precipitation_hours (h),temperature_2m_mean (°F),temperature_2m_max (°F),temperature_2m_min (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),wind_speed_10m_max (mp/h),cloud_cover_mean (%),dew_point_2m_mean (°F),snowfall_water_equivalent_sum (inch),pressure_msl_mean (hPa),relative_humidity_2m_mean (%),wind_direction_10m_dominant (°),wind_speed_10m_mean (mp/h),visibility_mean (undefined),soil_temperature_0_to_7cm_mean (°F),apparent_temperature_mean (°F),sunrise (iso8601),sunset (iso8601),weather_code (wmo code)
2000-01-01,0.000,0.000,0.000,0.0,26.9,34.7,20.9,28.5,14.2,5.6,70,16.6,0.000,1012.7,66,210,2.9,NaN,32.1,20.0,2000-01-01T08:51,2000-01-01T18:10,3
2000-01-02,0.146,0.004,1.075,8.0,24.3,27.4,17.5,20.8,9.1,9.4,89,18.4,0.154,1017.5,79,284,5.8,NaN,32.4,16.4,2000-01-02T08:51,2000-01-02T18:11,73
2000-01-03,0.051,0.000,0.386,6.0,21.3,27.0,16.1,20.4,6.6,8.4,45,14.0,0.055,1031.9,73,253,5.7,NaN,32.3,13.1,2000-01-03T08:52,2000-01-03T18:12,73
2000-01-04,0.138,0.008,0.937,6.0,24.2,36.9,13.3,30.8,3.8,8.7,59,16.5,0.134,1030.3,72,161,5.6,NaN,32.3,16.4,2000-01-04T08:52,2000-01-04T18:13,73
2000-01-05,0.039,0.008,0.276,3.0,26.9,32.2,20.8,26.6,14.5,5.4,37,22.8,0.039,1028.4,85,248,3.5,NaN,33.0,20.4,2000-01-05T08:52,2000-01-05T18:13,73
2000-01-06,0.000,0.000,0.000,0.0,17.2,26.0,7.3,18.7,-1.4,6.8,31,12.2,0.000,1037.6,81,157,4.6,NaN,33.0,9.3,2000-01-06T08:51,2000-01-06T18:14,3
2000-01-07,0.000,0.000,0.000,0.0,20.8,29.2,7.5,23.2,-1.7,6.6,71,11.6,0.000,1031.9,68,175,3.1,NaN,33.0,13.5,2000-01-07T08:51,2000-01-07T18:15,3
2000-01-08,0.047,0.004,0.386,8.0,23.7,31.8,12.7,25.0,3.5,10.9,51,17.5,0.055,1023.6,77,168,6.0,NaN,33.1,15.6,2000-01-08T08:51,2000-01-08T18:16,71
2000-01-09,0.039,0.016,0.193,4.0,28.8,34.1,22.4,26.7,14.5,8.7,83,23.3,0.028,1018.0,80,184,6.5,NaN,33.3,21.1,2000-01-09T08:51,2000-01-09T18:17,71
2000-01-10,0.122,0.094,0.193,14.0,33.7,36.5,30.7,29.2,21.9,9.2,85,28.9,0.028,1012.8,83,177,6.6,NaN,33.6,26.6,2000-01-10T08:51,2000-01-10T18:18,71
2000-01-11,0.008,0.008,0.000,1.0,38.6,42.2,35.7,34.7,27.5,13.2,80,28.0,0.000,1006.9,66,171,9.1,NaN,33.9,30.4,2000-01-11T08:51,2000-01-11T18:20,51
2000-01-12,0.000,0.000,0.000,0.0,33.9,37.6,24.6,32.5,18.3,9.7,38,26.8,0.000,1019.1,75,252,4.4,NaN,34.1,27.5,2000-01-12T08:50,2000-01-12T18:21,3
