Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Sunrise,Sunset,Moon Phase,Conditions
"Salt Lake City, UT, US",01/01/2014,21.2,38.9,29.4,23.3,78.58,,6.8,,159.63,18.5,0.0,0.0,2.17,4.8,43.4,1028.5,"Mist, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-01T07:51:51-07:00,2014-01-01T17:10:47-07:00,0.0,Partially cloudy
"Salt Lake City, UT, US",01/02/2014,17.5,37.1,25.5,20.4,81.25,,6.9,,125.04,12.1,0.0,0.0,2.1,4.9,37.9,1028.3,"Mist, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-02T07:51:56-07:00,2014-01-02T17:11:39-07:00,0.04,Partially cloudy
"Salt Lake City, UT, US",01/03/2014,15.7,33.4,25.2,21.1,84.19,,9.0,,189.67,5.9,0.0,0.0,2.5,3.4,85.5,1018.0,"Mist, Light Snow, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-03T07:51:59-07:00,2014-01-03T17:12:32-07:00,0.08,Overcast
"Salt Lake City, UT, US",01/04/2014,16.1,33.2,26.5,17.3,69.97,,12.7,,219.25,10.7,0.05,12.5,2.76,8.3,70.0,1020.4,"Mist, Light Snow",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-04T07:52:00-07:00,2014-01-04T17:13:26-07:00,0.11,"Rain, Partially cloudy"
"Salt Lake City, UT, US",01/05/2014,12.1,33.1,21.3,9.2,60.61,,8.0,,154.75,9.2,0.0,0.0,2.49,9.9,23.1,1030.4,,40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-05T07:51:58-07:00,2014-01-05T17:14:22-07:00,0.15,Clear
"Salt Lake City, UT, US",01/06/2014,17.1,33.7,22.7,9.9,58.79,,9.3,,164.67,5.7,0.0,0.0,2.35,9.9,32.9,1033.2,,40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-06T07:51:54-07:00,2014-01-06T17:15:20-07:00,0.18,Partially cloudy
"Salt Lake City, UT, US",01/07/2014,17.7,31.9,25.7,17.7,71.95,,11.2,,182.17,11.2,0.0,0.0,2.49,9.0,89.2,1023.8,"Light Snow, Mist, Precipitation In Vicinity, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-07T07:51:48-07:00,2014-01-07T17:16:18-07:00,0.25,Overcast
"Salt Lake City, UT, US",01/08/2014,28.2,33.9,30.7,28.7,92.28,,7.9,,125.13,21.1,0.1,41.67,5.89,3.0,97.6,1020.6,"Light Snow, Mist, Fog, Snow",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-08T07:51:39-07:00,2014-01-08T17:17:18-07:00,0.25,"Rain, Overcast"
"Salt Lake City, UT, US",01/09/2014,26.2,35.6,32.1,29.7,90.65,,11.3,,134.08,18.6,0.06,29.17,6.51,6.4,90.2,1016.3,"Mist, Light Snow, Fog, Snow",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-09T07:51:28-07:00,2014-01-09T17:18:19-07:00,0.28,"Rain, Overcast"
"Salt Lake City, UT, US",01/10/2014,30.4,42.3,37.1,26.1,64.69,,13.8,,129.88,21.6,0.0,0.0,6.66,9.9,95.4,1018.3,"Light Snow, Rain, Light Rain",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-10T07:51:15-07:00,2014-01-10T17:19:22-07:00,0.32,Overcast
"Salt Lake City, UT, US",01/11/2014,35.8,49.7,43.6,27.3,53.53,,27.4,34.4,160.25,28.2,0.0,0.0,3.08,9.9,88.3,1015.6,,40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-11T07:51:00-07:00,2014-01-11T17:20:25-07:00,0.35,Overcast
"Salt Lake City, UT, US",01/12/2014,33.7,38.8,36.6,26.4,68.44,,29.4,41.1,210.96,24.7,0.05,16.67,4.18,9.4,96.5,1019.7,"Mist, Light Snow, Rain, Light Rain",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-12T07:50:43-07:00,2014-01-12T17:21:30-07:00,0.38,"Rain, Overcast"
"Salt Lake City, UT, US",01/13/2014,35.1,44.1,38.1,25.0,59.48,,10.4,,142.5,27.4,0.0,0.0,3.91,9.9,81.7,1029.2,"Ice, Light Snow, Rain, Light Rain",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-13T07:50:23-07:00,2014-01-13T17:22:35-07:00,0.42,Overcast
"Salt Lake City, UT, US",01/14/2014,28.1,44.0,34.6,25.2,69.35,,9.0,,193.54,23.1,0.0,0.0,2.47,9.9,38.2,1035.5,,40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-14T07:50:01-07:00,2014-01-14T17:23:41-07:00,0.45,Partially cloudy
"Salt Lake City, UT, US",01/15/2014,26.3,42.4,32.9,24.8,73.16,,9.3,,188.13,19.4,0.0,0.0,2.37,9.7,41.6,1034.2,,40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-15T07:49:37-07:00,2014-01-15T17:24:49-07:00,0.5,Partially cloudy
"Salt Lake City, UT, US",01/16/2014,19.3,38.9,28.8,23.2,80.34,,7.2,,144.92,11.0,0.0,0.0,2.3,7.7,33.2,1033.3,"Mist, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-16T07:49:11-07:00,2014-01-16T17:25:57-07:00,0.52,Partially cloudy
"Salt Lake City, UT, US",01/17/2014,17.8,39.4,29.0,22.5,77.7,,7.9,,140.46,10.3,0.0,0.0,2.17,7.3,8.9,1030.3,Mist,40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-17T07:48:42-07:00,2014-01-17T17:27:06-07:00,0.55,Clear
"Salt Lake City, UT, US",01/18/2014,19.3,37.6,28.3,22.8,80.7,,8.0,,183.5,13.6,0.0,0.0,2.06,4.7,3.3,1029.5,"Mist, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-18T07:48:12-07:00,2014-01-18T17:28:15-07:00,0.59,Clear
"Salt Lake City, UT, US",01/19/2014,16.1,37.7,27.1,22.6,83.82,,10.0,,167.67,9.4,0.0,0.0,2.02,3.7,21.2,1027.2,"Mist, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-19T07:47:39-07:00,2014-01-19T17:29:25-07:00,0.62,Clear
"Salt Lake City, UT, US",01/20/2014,19.8,37.2,29.0,23.7,81.18,,11.2,,172.92,12.6,0.0,0.0,1.99,4.6,9.8,1030.4,"Mist, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-20T07:47:04-07:00,2014-01-20T17:30:36-07:00,0.66,Clear
"Salt Lake City, UT, US",01/21/2014,17.4,35.7,25.8,22.0,85.71,,8.3,30.0,162.46,9.7,0.0,0.0,1.72,3.9,28.9,1032.0,"Mist, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-21T07:46:27-07:00,2014-01-21T17:31:48-07:00,0.69,Partially cloudy
"Salt Lake City, UT, US",01/22/2014,16.0,32.0,24.6,22.2,90.58,,7.5,28.9,190.92,10.2,0.0,0.0,1.6,2.6,55.4,1023.4,"Mist, Light Snow, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-22T07:45:48-07:00,2014-01-22T17:32:59-07:00,0.72,Partially cloudy
"Salt Lake City, UT, US",01/23/2014,21.7,37.6,28.8,23.8,82.57,,9.2,42.5,185.88,14.3,0.0,0.0,1.6,4.4,35.0,1028.8,"Light Snow, Mist, Fog",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-23T07:45:07-07:00,2014-01-23T17:34:12-07:00,0.75,Partially cloudy
"Salt Lake City, UT, US",01/24/2014,17.2,37.2,27.9,19.6,72.31,,8.3,23.0,124.5,7.2,0.0,0.0,1.58,9.6,14.1,1035.8,,40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-24T07:44:25-07:00,2014-01-24T17:35:24-07:00,0.79,Clear
"Salt Lake City, UT, US",01/25/2014,19.2,37.1,27.3,20.0,75.05,,6.9,,166.83,12.8,0.0,0.0,1.57,7.3,6.7,1031.3,"Mist, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-25T07:43:40-07:00,2014-01-25T17:36:38-07:00,0.83,Clear
"Salt Lake City, UT, US",01/26/2014,19.2,40.9,28.2,21.1,76.22,,6.9,,152.04,12.0,0.0,0.0,1.57,5.7,5.6,1023.0,"Mist, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-26T07:42:53-07:00,2014-01-26T17:37:51-07:00,0.86,Clear
"Salt Lake City, UT, US",01/27/2014,23.1,40.9,30.3,22.9,74.94,,8.0,,186.46,15.8,0.0,0.0,1.47,5.5,50.1,1019.9,"Mist, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-27T07:42:04-07:00,2014-01-27T17:39:05-07:00,0.89,Partially cloudy
"Salt Lake City, UT, US",01/28/2014,24.3,39.4,30.8,19.3,63.49,,8.9,,175.63,18.0,0.0,0.0,1.44,9.4,59.6,1025.9,Smoke Or Haze,40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-28T07:41:14-07:00,2014-01-28T17:40:19-07:00,0.93,Partially cloudy
"Salt Lake City, UT, US",01/29/2014,30.4,49.7,38.6,26.8,64.76,,34.1,45.8,156.5,26.3,0.2,33.33,1.54,8.9,98.0,1015.7,"Light Snow, Mist, Rain, Light Rain And Snow, Light Rain",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2014-01-29T07:40:22-07:00,2014-01-29T17:41:33-07:00,0.96,"Rain, Overcast"
