Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Sunrise,Sunset,Moon Phase,Conditions
"Salt Lake City, UT, US",01/01/2002,28.1,34.1,30.9,29.7,95.08,,6.9,,301.88,21.8,0.01,4.17,2.65,1.4,97.8,1023.9,"Mist, Light Snow, Fog",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2002-01-01T07:51:53-07:00,2002-01-01T17:10:43-07:00,0.58,"Rain, Overcast"
"Salt Lake City, UT, US",01/02/2002,17.9,35.9,27.1,21.5,80.64,,11.6,,165.56,11.1,0.0,0.0,2.09,7.7,79.5,1023.1,"Mist, Fog",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2002-01-02T07:51:59-07:00,2002-01-02T17:11:35-07:00,0.62,Overcast
"Salt Lake City, UT, US",01/03/2002,20.9,34.1,29.0,24.4,82.97,,9.2,,197.78,13.2,0.0,0.0,2.27,7.2,90.4,1021.0,"Mist, Light Snow, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2002-01-03T07:52:02-07:00,2002-01-03T17:12:28-07:00,0.65,Overcast
"Salt Lake City, UT, US",01/04/2002,17.9,30.8,27.6,25.2,90.98,,12.8,,232.27,8.5,0.13,12.5,2.57,5.6,63.8,1026.9,"Mist, Light Snow, Fog, Snow",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2002-01-04T07:52:03-07:00,2002-01-04T17:13:22-07:00,0.69,"Rain, Partially cloudy"
"Salt Lake City, UT, US",01/05/2002,17.0,32.1,26.4,20.9,79.92,,11.6,,138.33,5.7,0.0,0.0,2.08,9.8,80.4,1030.5,,40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2002-01-05T07:52:01-07:00,2002-01-05T17:14:18-07:00,0.75,Overcast
"Salt Lake City, UT, US",01/06/2002,28.1,35.9,32.2,28.7,87.19,,11.6,,224.21,20.3,0.02,8.33,1.16,6.0,100.0,1030.9,"Light Snow, Mist, Fog, Light Rain, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2002-01-06T07:51:57-07:00,2002-01-06T17:15:15-07:00,0.76,"Rain, Overcast"
"Salt Lake City, UT, US",01/07/2002,30.8,37.1,33.7,30.6,88.47,,15.0,,235.63,23.1,0.0,0.0,0.7,3.3,90.8,1030.3,"Mist, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2002-01-07T07:51:51-07:00,2002-01-07T17:16:14-07:00,0.8,Overcast
"Salt Lake City, UT, US",01/08/2002,25.1,35.0,31.1,28.9,91.82,,9.2,,200.0,20.3,0.0,0.0,0.58,1.3,96.7,1022.7,"Mist, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2002-01-08T07:51:43-07:00,2002-01-08T17:17:14-07:00,0.83,Overcast
"Salt Lake City, UT, US",01/09/2002,26.9,35.9,31.7,29.3,90.72,,10.3,,251.43,23.0,0.0,0.0,0.5,2.5,74.2,1020.4,"Mist, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2002-01-09T07:51:32-07:00,2002-01-09T17:18:15-07:00,0.87,Partially cloudy
"Salt Lake City, UT, US",01/10/2002,19.1,33.2,27.7,24.7,88.73,,9.2,,195.88,11.1,0.0,0.0,0.47,5.8,68.7,1031.0,"Mist, Fog, Smoke Or Haze",40.7603,-111.888,"Salt Lake City, UT, United States","Salt Lake City, UT, United States",,2002-01-10T07:51:20-07:00,2002-01-10T17:19:17-07:00,0.9,Partially cloudy
